NAME	DESCRIPTION	SMARTA_GITR_KO_1_htsqct	SMARTA_GITR_KO_2_htsqct	SMARTA_GITR_KO_3_htsqct	SMARTA_GITR_WT_1_htsqct	SMARTA_GITR_WT_2_htsqct	SMARTA_GITR_WT_3_htsqct
Parp6	Parp6	24.1020591978159	25.8116359465773	25.378942071958	22.8399537911105	24.6758172729551	20.3677990827366
Parp8	Parp8	24.7337663945329	19.1678124928725	20.4477335920557	18.6651980863674	22.503454127029	18.5349553123002
Parp9	Parp9	320.49421661128	283.164337544109	343.506433639269	316.958226667203	340.197638813935	337.423956667236
Parpbp	Parpbp	15.7683834872808	12.0148837936731	17.8401312021597	19.5809509506336	15.8192598318719	19.7740609599191
Parvg	Parvg	171.970136090868	182.921514706218	179.330754457599	168.309989670577	170.920418289081	172.106611514074
Pask	Pask	12.026733168265	11.8112416954752	15.3099823485972	17.5070400521484	13.1734329233722	20.1612814748001
Patl1	Patl1	68.6131201357179	57.3252506426945	66.8424018558487	68.0081171256532	74.5287663910021	68.8478075458281
Patz1	Patz1	28.3539345603339	31.5390699583918	26.5923808078502	26.1797583549049	27.0431360858233	26.6407714238075
Paxbp1	Paxbp1	91.427468509457	73.2093343021267	86.4897822391244	91.6291542421672	100.875632237747	95.9274288865007
Paxip1	Paxip1	59.4533657833221	61.4235478689262	64.2347994659527	70.7284418106794	62.8592771840403	72.1004598708279
Pbdc1	Pbdc1	53.3063688306534	44.775806341252	54.7596501878158	50.4472092579598	47.4577794956157	58.3670389430511
Pbk	Pbk	20.2875195868713	11.1494048763322	21.0415440372795	21.6009940335738	17.2396511195928	25.1177040652759
Pbrm1	Pbrm1	190.921351992377	130.101845486151	189.735346171739	200.603745089848	205.371869718703	201.535370645024
Pbx2	Pbx2	85.7906966002903	91.3843915662847	83.0301909495594	76.0074877340964	82.2155898304328	74.5786711660658
Pbxip1	Pbxip1	235.432412930279	255.112638517355	222.859641877051	209.97674499469	228.850102180443	193.300481028557
Pcbd2	Pcbd2	21.8181947173777	26.2698306675225	18.8728450199403	22.1396721890245	18.6321915977505	20.8324637005937
Pcbp1	Pcbp1	236.574345170498	296.884723910189	224.150534149277	232.574293615848	218.433899403823	234.345855605935
Pcbp2	Pcbp2	336.821418003349	334.991251535461	322.1808933021	321.779396158487	323.765661171674	338.404915304935
Pcbp4	Pcbp4	14.2134119261314	16.4950099540258	11.3598519955865	14.8405831826673	13.5911950668195	14.7143795654751
Pcca	Pcca	16.0113477937104	13.3385574319591	14.0707257672605	14.8405831826673	15.2343928310457	15.514635296229
Pccb	Pccb	11.1520616651185	11.734875908651	9.65587419624852	10.8812987401045	10.1098438714252	11.4617272404753
Pcdhgc3	Pcdhgc3	9.91294370232752	14.8404179061682	11.6180304500316	10.854364832332	11.0289205870093	8.59629543035649
Pced1a	Pced1a	32.3142527551363	36.9610408229096	30.6199646971945	33.2364421913093	32.6132979984542	29.4545738319422
Pced1b	Pced1b	78.9391031589757	104.493851637771	80.603313477775	77.1387118605429	81.0458558287803	74.8884475779705
Pcf11	Pcf11	128.916860991544	95.329957218868	134.949878138479	129.14808776931	135.522039334311	131.500086853561
Pcgf1	Pcgf1	14.0919297729166	17.0295704617951	12.7540156495903	13.2514826240877	13.5076426381301	11.7715036523801
Pcgf3	Pcgf3	18.4895837192923	15.3495231516629	18.5372130291616	19.6617526739512	20.7767039341134	18.6382141162684
Pcgf5	Pcgf5	30.3948347343425	23.2151991945548	29.3290724249688	30.5969192296008	30.4966364716545	31.1067146954342
Pcgf6	Pcgf6	16.2786085307829	14.0258495133768	14.5354469852618	15.6755343236159	18.3815343116821	16.4955939339273
Pcid2	Pcid2	36.5175352563683	41.5429880323612	35.6544445588749	35.229551366477	37.4871896720063	36.6052460067433
Pcif1	Pcif1	62.0044910008329	82.3477734587551	58.8905054589381	64.5336430229961	63.1934868987981	65.6725993238046
Pcm1	Pcm1	64.4584304957718	47.1686009950768	71.4379783449723	71.1593843350399	74.5287663910021	74.0107477442404
Pcmt1	Pcmt1	80.2025175524096	62.8744978185858	75.7237406887618	72.5599475392118	68.8750520496817	72.9523450035659
Pcmtd1	Pcmtd1	61.2513016509012	33.6518567271945	54.2432932789255	57.4500252788191	59.6007324651512	58.1088919331305
Pcmtd2	Pcmtd2	82.9237177844211	54.3978954811004	73.0386847625322	68.7622665432842	81.3243639244119	72.5134950867009
Pcna	Pcna	378.562685847954	275.222295714393	366.381044703109	424.639989941802	346.185562870014	456.145766529727
Pcnp	Pcnp	197.894427586906	158.459007660201	198.332688704762	200.549877274303	189.608311505958	205.433390494826
Pcnt	Pcnt	93.0310329318923	98.6391413145831	113.701791337643	123.976777476983	119.312868168555	126.956699478959
Pcnx	Pcnx	25.9485879266809	31.3099725979193	27.1087377167405	30.0313071663776	30.9701002342281	26.8214743307519
Pcnxl3	Pcnxl3	142.887308611245	191.576303879626	138.099655282709	146.493524374823	158.55465884304	135.269033198402
Pcsk7	Pcsk7	88.1231539420145	91.2316599926363	88.8908418654643	93.5953295095624	88.0921106482585	89.6802712464218
Pcyox1	Pcyox1	17.1775764645724	16.0622704953553	17.3754099841584	14.6789797360321	19.1892077890136	16.5730380369035
Pcyt1a	Pcyt1a	16.4729799759266	16.3422783803774	19.4666554651641	21.6548618491189	18.7714456455663	21.1680548134905
Pcyt2	Pcyt2	48.4956755633474	62.0853846880692	42.2896308381152	43.5790627759631	49.0452756407155	41.097003979362
Pdap1	Pdap1	125.296692825743	122.872551000127	134.562610456811	128.851814783812	110.539863156161	130.441684112887
Pdcd1	Pdcd1	267.309329933842	312.514254946874	311.001766224625	287.519465471821	281.293176587863	285.433148869224
Pdcd10	Pdcd10	115.359452692772	77.434907839732	109.441846839298	104.503562157439	106.835705484262	108.344300063682
Pdcd11	Pdcd11	80.0567389685519	88.7624995519874	88.6842991019082	85.2996859156213	91.8519699392844	84.4915163470174
Pdcd2	Pdcd2	36.8819817160127	43.7830511125375	35.6802624043194	36.4415772162411	34.5350038583119	33.6623700936482
Pdcd2l	Pdcd2l	11.8566581537643	12.7530863996403	10.6111344776956	12.2818619442764	10.5276060148725	10.1709921908722
Pdcd4	Pdcd4	233.731662785271	177.321357005777	220.045496723599	204.993972056771	227.875323845732	210.854477703159
Pdcd5	Pdcd5	37.9510246643029	42.2302801137789	36.4547977676548	38.1384134059109	34.4236006200593	35.9598784819417
