NAME	DESCRIPTION	SMARTA_GITR_KO_1_htsqct	SMARTA_GITR_KO_2_htsqct	SMARTA_GITR_KO_3_htsqct	SMARTA_GITR_WT_1_htsqct	SMARTA_GITR_WT_2_htsqct	SMARTA_GITR_WT_3_htsqct
0610007P14Rik	0610007P14Rik	49.3630125397893	44.1851293913928	48.3363050124541	45.9243085571048	49.1290180270153	49.0936507570078
0610009O20Rik	0610009O20Rik	29.5352931469634	40.9208615581043	30.6843922369503	34.3158873047835	29.9117916135381	31.600510832097
0610010K14Rik	0610010K14Rik	42.3735594368103	46.5092880886942	37.1619216326396	38.8198475135364	36.8123979508526	35.9866206959676
0610011F06Rik	0610011F06Rik	22.1818060282043	30.5013186342475	20.7229326882011	19.8656816350348	20.8667737451061	18.2369831181988
0610012G03Rik	0610012G03Rik	16.9154472665846	23.8944405396716	14.2712101825345	15.1204378436702	14.1311221409546	14.2099699683293
0610030E20Rik	0610030E20Rik	92.537446811316	85.3671323761602	99.1242645770616	93.4035557577077	92.5670977599108	89.9537268572761
0610031J06Rik	0610031J06Rik	117.437373490679	148.876727340621	114.711626150752	113.671376697095	113.323901682908	111.499529697342
0610037L13Rik	0610037L13Rik	20.9683593089371	16.7652795917696	15.5357477936452	18.4179801393643	16.2480412165451	19.0064760767726
1110002L01Rik	1110002L01Rik	17.5464395606036	19.3505797157341	19.7680777573625	19.3294958958976	19.0522716803143	17.6470385166256
1110004E09Rik	1110004E09Rik	18.0560871826958	20.6301727063832	20.7487395782238	18.2571244176231	18.0075583702826	17.9035361694835
1110004F10Rik	1110004F10Rik	94.2120032839047	88.3441446401193	97.4726236156109	98.7386038621233	91.8797863717321	97.0843616067266
1110008F13Rik	1110008F13Rik	90.5716631261032	106.571816221202	83.7175512335298	84.6905374967275	86.0238933444493	81.4123550171071
1110008L16Rik	1110008L16Rik	11.4549370298823	11.5163369158417	10.6066317993159	9.51729686968606	11.6568011435112	12.6966338164675
1110008P14Rik	1110008P14Rik	26.6715588894929	41.5998292674283	24.2326697312837	24.4768789916151	22.3513663435722	23.418235705929
1110012L19Rik	1110012L19Rik	14.3429402217382	11.7252500571722	14.0131412823078	11.7424676871056	12.92145409776	11.5423943786069
1110037F02Rik	1110037F02Rik	154.932877116035	139.423407695417	157.886553158673	161.472335341181	160.528447823023	159.669788904062
1110038B12Rik	1110038B12Rik	18.1288939858518	31.7547974822303	19.8971122074758	16.5949486262977	17.897588548174	20.3402638716339
1110038F14Rik	1110038F14Rik	28.7586872466324	29.7178943542583	24.6971937516917	24.1819768350896	22.9012154541151	23.2386873489285
1110057K04Rik	1110057K04Rik	62.6623885829578	62.8567413978029	59.639722842382	57.9348691137791	60.0435228712935	59.0714094531813
1110059E24Rik	1110059E24Rik	16.7698336602726	13.0831854758202	18.1680505759571	17.2651808002192	16.4404884052351	20.2120150452049
1110059G10Rik	1110059G10Rik	18.0075493139251	16.6869371637707	17.0067405249372	16.9434693567369	17.347739437631	17.3392413331961
1190002F15Rik	1190002F15Rik	17.6677842325303	19.2722372877352	18.3228919160931	16.8898507828231	13.8012126746288	15.4411587020474
1190002N15Rik	1190002N15Rik	30.0206718346703	21.4135969863724	30.1940613265197	33.2703251134659	31.91874086702	35.0375793803933
1200014J11Rik	1200014J11Rik	77.3450938860908	67.7923143617351	86.9692193763857	83.1624081401864	83.3021402472616	82.0535991492519
1300002E11Rik	1300002E11Rik	25.5794568421524	21.2569121303745	25.8843106927344	26.1658640698974	27.7123951713662	25.9575624692225
1500004A13Rik	1500004A13Rik	9.70757375413753	11.1507389185134	11.3034178299279	11.2062819479684	11.3268916771854	11.5423943786069
1500009L16Rik	1500009L16Rik	11.0909030141021	8.77435193587942	14.9679962131465	16.6217579132545	8.55015366894335	17.6470385166256
1500011B03Rik	1500011B03Rik	17.6192463637596	17.7576170130893	17.5744921054358	16.7558043480388	18.7223622139885	14.8255643351884
1500012F01Rik	1500012F01Rik	73.195106106197	79.7264775602377	60.7752260033793	61.0447464007751	62.8202608795355	58.6097136780371
1600002K03Rik	1600002K03Rik	12.7654594866909	18.1232150104176	13.1099001315145	10.9649983653566	10.7220576555881	10.4907540018893
1600012H06Rik	1600012H06Rik	35.6510646120701	34.2356410355295	31.716667837857	33.1630879656385	33.9806750315562	30.4975709248079
